StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,pid_base,pidstr_d,pidstr_r,pidlean,ideol,trust_1,trust_2,trust_3,trust_4,trust_DO,followpol,intro,rep1,rep2,acq1,acq2,hyp1,hyp2,incomp1,incomp2,breach1,breach2,educ,gender,race,income,age,troll,troll_oe,debrief,psid,pid,r1dr,r2dr,b1dr,b2dr,i1dr,i2dr,hyp1dr,hyp2dr,hyp1to,FL_39_DO,FL_46_DO,FL_55_DO,FL_43_DO,FL_59_DO,FL_60_DO
7/15/19 15:22,7/15/19 15:26,0,108.64.218.83,100,244,1,7/15/19 15:26,R_QgLr2zJfHq63gbL,,,,,30.63330078,-88.15229797,anonymous,EN,24,4,,,1,1,2,2,3,2,2|4|3|1,5,1,3,1,4,2,1,3,2,2,2,4,2,2,1,3,24,1,,,uHt3RyJV9q0Mh5CTYEvAvg**,1601642444,Democratic,Republican,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_48,FL_56,FL_44,Replication1|Replication2,Incompetence2|Incompetence1|Acquiescence1|Breach2|Hypocrisy1|Breach1|Hypocrisy2|Acquiescence2
7/15/19 15:22,7/15/19 15:27,0,12.245.223.10,100,307,1,7/15/19 15:27,R_xf5QGhtQg7mMOiZ,,,,,28.39390564,-81.42160034,anonymous,EN,31,2,,1,,6,3,3,1,3,2|3|1|4,2,1,3,3,3,2,2,2,2,5,3,3,5,1,1,7,31,1,,,uHt3RyJV9q3TDD9zHLJKdA**,1616292893,Republican,Democratic,Republican,Democratic,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_48,FL_56,FL_45,Replication2|Replication1,Incompetence1|Incompetence2|Hypocrisy2|Acquiescence2|Hypocrisy1|Breach2|Acquiescence1|Breach1
7/15/19 15:22,7/15/19 15:30,0,73.181.245.15,100,449,1,7/15/19 15:30,R_11ZWVDXyE9exeu3,,,,,47.21090698,-122.4147034,anonymous,EN,58,1,1,,,1,3,4,3,3,2|3|1|4,3,1,4,4,3,2,2,4,3,5,2,3,3,2,1,2,59,1,,,uHt3RyJV9q3KSx6EndVweA**,1601641382,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication1|Replication2,Incompetence2|Breach2|Acquiescence1|Hypocrisy1|Breach1|Incompetence1|Hypocrisy2|Acquiescence2
7/15/19 15:22,7/15/19 15:30,0,107.143.49.56,100,481,1,7/15/19 15:30,R_2UVf5jjY6SornGl,,,,,35.39059448,-82.56800079,anonymous,EN,57,3,,,2,5,3,4,1,3,2|3|1|4,5,1,3,3,3,3,2,3,3,3,3,3,5,2,1,9,57,1,,"It would not have surprised me if any/all of those events had occurred simply because we are rarely made aware of the whole story.  Unless one is involved firsthand with a situation, it is difficult to know what is true and what isn't based on what is reported.  Politicians of all parties (and many business people) will sometimes do whatever it takes to get something accomplished that is of their own interest.  This is not always a bad thing or affects the average person, but I think it's naive to assume it doesn't happen.",uHt3RyJV9q2VcZAb1-_Bkw**,1504388402,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_47,FL_56,FL_44,Replication1|Replication2,Acquiescence2|Incompetence2|Breach1|Breach2|Hypocrisy2|Hypocrisy1|Incompetence1|Acquiescence1
7/15/19 15:22,7/15/19 15:32,0,174.21.103.18,100,566,1,7/15/19 15:32,R_aVHJzmxEIql50XL,,,,,47.38310242,-122.209198,anonymous,EN,54,1,2,,,2,2,3,2,3,1|4|2|3,3,1,3,5,5,3,3,3,3,3,3,3,3,2,4,9,54,1,,,uHt3RyJV9q2Vrlr9xim2Xg**,1506072120,Republican,Democratic,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_41,FL_48,FL_57,FL_44,Replication2|Replication1,Acquiescence1|Hypocrisy1|Acquiescence2|Incompetence2|Incompetence1|Breach1|Breach2|Hypocrisy2
7/15/19 15:22,7/15/19 15:37,0,64.134.102.14,100,883,1,7/15/19 15:37,R_2WVx1igWjNG6Hrq,,,,,29.20120239,-81.03710175,anonymous,EN,15,4,,,3,4,3,4,1,3,2|3|1|4,3,1,3,4,4,3,3,2,4,4,2,3,4,1,1,6,30,1,,,uHt3RyJV9q3n5rwO4wcYWg**,1504449978,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication1|Replication2,Breach1|Hypocrisy2|Breach2|Hypocrisy1|Incompetence1|Incompetence2|Acquiescence1|Acquiescence2
7/15/19 15:52,7/15/19 15:56,0,174.196.15.62,100,271,1,7/15/19 15:56,R_p4swX4TcdGHSLf3,,,,,36.167099,-86.78610229,anonymous,EN,57,2,,2,,6,2,3,1,2,1|4|3|2,2,1,4,2,3,2,2,2,3,3,2,1,4,2,1,5,57,1,,,uHt3RyJV9q3A0a7lShbaTQ**,1507953807,Republican,Democratic,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_47,FL_56,FL_44,Replication1|Replication2,Hypocrisy2|Incompetence2|Acquiescence2|Breach2|Incompetence1|Breach1|Hypocrisy1|Acquiescence1
7/15/19 15:53,7/15/19 15:57,0,172.58.35.122,100,258,1,7/15/19 15:57,R_3PSj7meEiyRjk6f,,,,,38.62260437,-121.388504,anonymous,EN,21,1,2,,,2,2,2,3,3,3|1|2|4,2,1,4,2,5,3,3,2,2,4,2,4,3,1,5,4,21,1,,,uHt3RyJV9q1kT7h8AWqShA**,1613356393,Democratic,Republican,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_48,FL_57,FL_44,Replication1|Replication2,Breach2|Incompetence1|Hypocrisy2|Hypocrisy1|Acquiescence1|Incompetence2|Acquiescence2|Breach1
7/15/19 15:53,7/15/19 15:58,0,172.58.15.9,100,296,1,7/15/19 15:58,R_0qRL6jk3C6fylkl,,,,,25.78070068,-80.29519653,anonymous,EN,35,1,1,,,2,2,1,1,2,1|3|4|2,3,1,1,3,3,2,5,4,3,3,5,4,2,2,2,3,35,1,,,uHt3RyJV9q05mPmllL1Eog**,1574061516,Democratic,Republican,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_48,FL_56,FL_44,Replication2|Replication1,Hypocrisy2|Breach1|Incompetence1|Hypocrisy1|Acquiescence2|Breach2|Incompetence2|Acquiescence1
7/15/19 15:53,7/15/19 15:58,0,67.60.229.69,100,325,1,7/15/19 15:58,R_sO930MhjOgucS4h,,,,,43.63389587,-116.2942047,anonymous,EN,64,2,,1,,7,2,3,1,2,4|3|2|1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,4,1,64,1,,,uHt3RyJV9q2kMf4kdartCA**,1502967467,Republican,Democratic,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_47,FL_56,FL_45,Replication2|Replication1,Breach2|Acquiescence2|Incompetence2|Hypocrisy2|Breach1|Hypocrisy1|Incompetence1|Acquiescence1
7/15/19 15:54,7/15/19 15:58,0,96.37.0.224,100,280,1,7/15/19 15:58,R_29u0hP316V7Xk9w,,,,,36.98109436,-76.63680267,anonymous,EN,56,2,,1,,6,2,3,1,3,2|3|4|1,2,1,4,2,3,3,2,2,2,4,1,2,4,2,1,9,56,1,,,uHt3RyJV9q3y4-efAqmhMg**,1363276693,Republican,Democratic,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_47,FL_56,FL_45,Replication1|Replication2,Hypocrisy1|Acquiescence1|Hypocrisy2|Acquiescence2|Incompetence1|Breach2|Incompetence2|Breach1
7/15/19 15:56,7/15/19 16:00,0,107.77.202.90,100,249,1,7/15/19 16:00,R_2VwDBbzmrLf6282,,,,,39.25140381,-76.79789734,anonymous,EN,37,1,1,,,2,2,2,2,2,3|2|1|4,1,1,3,2,3,2,3,3,3,3,3,3,4,1,2,10,37,1,,,uHt3RyJV9q33f87srp9bHA**,1281202042,Democratic,Republican,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_48,FL_57,FL_44,Replication2|Replication1,Incompetence1|Hypocrisy2|Acquiescence1|Incompetence2|Breach1|Hypocrisy1|Breach2|Acquiescence2
7/15/19 15:52,7/15/19 16:00,0,97.96.247.20,100,497,1,7/15/19 16:00,R_2B58CYNbSZlSb1E,,,,,27.89300537,-82.50740051,anonymous,EN,52,2,,2,,4,3,3,3,3,1|2|3|4,4,1,2,2,1,3,2,2,4,4,2,3,3,1,1,3,52,1,,,uHt3RyJV9q3sKwR4oaN9mg**,1601339461,Republican,Democratic,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_47,FL_57,FL_45,Replication1|Replication2,Acquiescence1|Breach2|Breach1|Acquiescence2|Incompetence1|Incompetence2|Hypocrisy2|Hypocrisy1
7/15/19 15:58,7/15/19 16:00,0,69.202.131.147,100,140,1,7/15/19 16:00,R_3jUL53yWpAt7niD,,,,,40.85270691,-73.93830109,anonymous,EN,45,1,2,,,3,3,3,3,3,2|3|1|4,2,1,2,3,2,2,2,3,3,2,3,3,3,2,4,1,45,1,,,uHt3RyJV9q0X5g3OLdXJVw**,1542297570,Democratic,Republican,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_40,FL_47,FL_57,FL_45,Replication1|Replication2,Breach1|Acquiescence2|Hypocrisy2|Breach2|Hypocrisy1|Incompetence2|Incompetence1|Acquiescence1
7/15/19 15:57,7/15/19 16:01,0,69.245.90.175,100,250,1,7/15/19 16:01,R_25NqgbFI3y6NTyG,,,,,31.8480072,-81.60199738,anonymous,EN,51,3,,,1,6,2,3,1,2,4|2|3|1,2,1,4,3,5,2,2,2,4,4,4,2,5,2,1,8,51,1,,,uHt3RyJV9q0A3yN74SXHdw**,1420514620,Republican,Democratic,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_47,FL_57,FL_45,Replication1|Replication2,Breach2|Acquiescence2|Hypocrisy1|Incompetence1|Incompetence2|Breach1|Acquiescence1|Hypocrisy2
7/15/19 15:58,7/15/19 16:01,0,70.44.232.34,100,195,1,7/15/19 16:01,R_9GHKD9YvdX0n6Yp,,,,,40.94850159,-75.95649719,anonymous,EN,20,4,,,3,8,3,2,2,2,4|3|1|2,5,1,5,5,5,5,5,5,5,5,5,5,5,2,5,1,20,1,,,uHt3RyJV9q2m40NB5823rg**,1561562938,Republican,Democratic,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_48,FL_56,FL_44,Replication1|Replication2,Incompetence1|Hypocrisy1|Incompetence2|Breach2|Breach1|Hypocrisy2|Acquiescence1|Acquiescence2
7/15/19 15:52,7/15/19 16:01,0,73.169.136.199,100,583,1,7/15/19 16:01,R_33xxEef9bAo1LMe,,,,,47.2230072,-122.5361023,anonymous,EN,58,1,2,,,3,2,2,2,2,4|1|2|3,2,1,4,3,4,3,4,3,4,5,4,4,4,2,1,7,59,1,,,uHt3RyJV9q0pI2BFMHEDLA**,1499085680,Democratic,Republican,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_40,FL_48,FL_57,FL_45,Replication1|Replication2,Breach1|Hypocrisy1|Acquiescence2|Incompetence1|Breach2|Incompetence2|Hypocrisy2|Acquiescence1
7/15/19 15:56,7/15/19 16:01,0,72.187.56.106,100,345,1,7/15/19 16:01,R_2QQKmT0KtqM2c2U,,,,,27.98730469,-81.76249695,anonymous,EN,41,4,,,3,4,3,3,3,3,2|3|4|1,3,1,3,3,4,3,4,3,2,3,3,4,5,2,1,4,41,1,,,uHt3RyJV9q3E9V0xvsrZUQ**,1609781339,Democratic,Republican,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_48,FL_56,FL_44,Replication1|Replication2,Acquiescence2|Acquiescence1|Breach2|Hypocrisy2|Incompetence2|Incompetence1|Breach1|Hypocrisy1
7/15/19 15:58,7/15/19 16:02,0,64.126.7.242,100,232,1,7/15/19 16:02,R_2Toz9ddQboyFXPD,,,,,38.95880127,-94.64399719,anonymous,EN,48,3,,,1,3,2,3,3,3,3|2|4|1,1,1,4,4,5,3,2,2,4,4,3,3,5,2,1,10,48,1,,,uHt3RyJV9q3XD_BtjbWdmA**,1501627593,Republican,Democratic,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_47,FL_57,FL_45,Replication2|Replication1,Hypocrisy1|Hypocrisy2|Incompetence1|Acquiescence1|Incompetence2|Breach1|Acquiescence2|Breach2
7/15/19 15:57,7/15/19 16:02,0,91.133.112.158,100,289,1,7/15/19 16:02,R_2uDOZFShZ0wO76I,,,,,47.80079651,13.04429626,anonymous,EN,61,1,2,,,4,1,2,2,2,2|1|3|4,3,1,3,3,3,2,1,2,2,4,2,3,3,1,1,10,61,1,,,uHt3RyJV9q3xvpG0F4sZRQ**,1610854818,Republican,Democratic,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_47,FL_56,FL_45,Replication2|Replication1,Acquiescence2|Breach2|Incompetence1|Hypocrisy2|Acquiescence1|Incompetence2|Hypocrisy1|Breach1
7/15/19 16:00,7/15/19 16:03,0,73.67.57.253,100,177,1,7/15/19 16:03,R_1gzJ6oKMRYv7Vsj,,,,,38.87150574,-94.77130127,anonymous,EN,32,1,2,,,3,1,1,1,1,3|4|2|1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,32,1,,,uHt3RyJV9q33h89n3i6d-w**,1503139034,Republican,Democratic,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_48,FL_56,FL_44,Replication2|Replication1,Breach1|Incompetence1|Incompetence2|Hypocrisy2|Acquiescence1|Hypocrisy1|Breach2|Acquiescence2
7/15/19 15:56,7/15/19 16:03,0,75.46.157.225,100,382,1,7/15/19 16:03,R_3qWIamfS39kpsN2,,,,,33.74079895,-84.26319885,anonymous,EN,25,1,1,,,7,2,2,3,4,1|3|2|4,4,1,4,2,3,5,2,2,2,4,3,3,4,2,2,4,25,2,I’m not gonna I gotta is the day you I wanna go to ya house today I gotta work tomorrow ,I’m not gonna wanna was the day I gotta wake time to ya girl and I gotta was ,uHt3RyJV9q1fhpkf0IqurA**,1507982263,Democratic,Republican,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_48,FL_57,FL_44,Replication1|Replication2,Incompetence1|Acquiescence1|Acquiescence2|Breach1|Hypocrisy2|Hypocrisy1|Breach2|Incompetence2
7/15/19 15:58,7/15/19 16:03,0,104.173.65.167,100,324,1,7/15/19 16:03,R_RXJqGyHvkLBlNyp,,,,,34.69059753,-118.1417007,anonymous,EN,60,3,,,1,2,2,3,2,3,3|4|2|1,3,1,3,3,2,2,4,3,3,3,4,3,4,2,1,7,60,1,,,uHt3RyJV9q04dGdIwIIOgQ**,1617268212,Democratic,Republican,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_48,FL_56,FL_44,Replication1|Replication2,Hypocrisy2|Acquiescence1|Incompetence2|Acquiescence2|Hypocrisy1|Breach1|Incompetence1|Breach2
7/15/19 15:58,7/15/19 16:03,0,69.130.41.238,100,339,1,7/15/19 16:03,R_3iKXhYCBQOpTZ6P,,,,,46.6257019,-94.2684021,anonymous,EN,51,1,2,,,2,1,3,2,3,4|1|2|3,4,1,3,3,3,3,3,3,4,4,3,3,3,2,1,5,51,1,,,uHt3RyJV9q3BxocFuYe-Hg**,1600447398,Democratic,Republican,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_48,FL_56,FL_44,Replication2|Replication1,Incompetence1|Hypocrisy1|Acquiescence1|Acquiescence2|Breach1|Breach2|Hypocrisy2|Incompetence2
7/15/19 15:57,7/15/19 16:03,0,173.27.11.34,100,395,1,7/15/19 16:03,R_25Qs535om119CEW,,,,,40.63299561,-91.33979797,anonymous,EN,51,1,2,,,4,2,3,2,2,4|1|2|3,1,1,4,4,3,3,3,3,4,4,4,3,4,2,1,7,51,1,,,uHt3RyJV9q2qvi4dCPxNXw**,1616923508,Republican,Democratic,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_47,FL_57,FL_45,Replication1|Replication2,Breach2|Acquiescence1|Incompetence1|Acquiescence2|Hypocrisy1|Incompetence2|Hypocrisy2|Breach1
7/15/19 16:00,7/15/19 16:03,0,24.8.182.251,100,227,1,7/15/19 16:03,R_1puMXvcFXptAXqm,,,,,38.87680054,-104.8119965,anonymous,EN,48,2,,2,,5,4,4,2,2,3|2|1|4,2,1,3,2,1,2,2,2,1,2,1,2,3,2,1,2,48,1,,,uHt3RyJV9q1McIbP9z8L2g**,1511251486,Democratic,Republican,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_40,FL_47,FL_57,FL_45,Replication1|Replication2,Hypocrisy2|Incompetence2|Breach1|Acquiescence1|Incompetence1|Acquiescence2|Hypocrisy1|Breach2
7/15/19 16:00,7/15/19 16:04,0,100.18.7.130,100,244,1,7/15/19 16:04,R_3qZPaoiw2xRzKmU,,,,,39.18429565,-76.96859741,anonymous,EN,56,1,2,,,4,2,3,4,2,4|2|1|3,1,1,3,2,2,2,2,2,2,2,2,2,4,,1,9,56,1,,,uHt3RyJV9q3SJwQ_vVLR3Q**,1502108630,Democratic,Republican,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_40,FL_47,FL_56,FL_45,Replication1|Replication2,Breach2|Breach1|Acquiescence2|Acquiescence1|Incompetence1|Hypocrisy1|Incompetence2|Hypocrisy2
7/15/19 16:00,7/15/19 16:05,0,184.183.161.186,100,332,1,7/15/19 16:05,R_3r19lcQ27jm1CU4,,,,,32.74040222,-117.135498,anonymous,EN,50,2,,1,,7,1,2,1,2,2|4|1|3,1,1,3,3,3,2,3,3,3,3,3,3,3,2,1,4,50,1,,,uHt3RyJV9q3RmZegtuMdnQ**,1612885966,Republican,Democratic,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_47,FL_57,FL_45,Replication1|Replication2,Breach1|Breach2|Hypocrisy1|Acquiescence2|Hypocrisy2|Incompetence1|Incompetence2|Acquiescence1
7/15/19 16:00,7/15/19 16:06,0,71.63.40.183,100,354,1,7/15/19 16:06,R_22StaTWISFkGajR,,,,,38.44749451,-78.86930084,anonymous,EN,58,3,,,2,6,2,3,1,2,1|4|3|2,2,1,3,3,4,3,2,3,3,4,3,3,4,1,1,5,59,1,,,uHt3RyJV9q1AIZfz3iU7mA**,1502054712,Republican,Democratic,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_48,FL_56,FL_44,Replication1|Replication2,Breach2|Incompetence2|Acquiescence2|Hypocrisy1|Hypocrisy2|Acquiescence1|Breach1|Incompetence1
7/15/19 16:00,7/15/19 16:07,0,99.130.104.9,100,421,1,7/15/19 16:07,R_32Ve7NJQEh0wAF2,,,,,33.94490051,-117.3834,anonymous,EN,65,1,2,,,5,2,3,2,3,2|3|4|1,4,1,4,2,3,3,2,2,2,4,2,2,4,1,1,10,65,1,,,uHt3RyJV9q0BQij-0H22hQ**,1504469649,Democratic,Republican,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_48,FL_57,FL_44,Replication1|Replication2,Acquiescence1|Incompetence1|Breach1|Hypocrisy1|Hypocrisy2|Acquiescence2|Incompetence2|Breach2
7/15/19 16:00,7/15/19 16:08,0,73.192.91.54,100,487,1,7/15/19 16:08,R_1lb2wyc6ad3fNZS,,,,,30.66969299,-81.46260071,anonymous,EN,63,1,2,,,4,2,3,3,3,4|3|1|2,2,1,2,1,2,2,1,3,2,5,2,2,2,2,1,7,63,1,,,uHt3RyJV9q24-fi8m4W8wA**,1210337193,Republican,Democratic,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_48,FL_56,FL_44,Replication1|Replication2,Incompetence2|Breach1|Hypocrisy2|Acquiescence1|Hypocrisy1|Incompetence1|Breach2|Acquiescence2
7/15/19 16:21,7/15/19 16:22,0,73.192.11.148,100,64,1,7/15/19 16:22,R_297jsWObJTx1Csw,,,,,30.55200195,-81.8144989,anonymous,EN,28,2,,1,,3,3,4,2,2,3|2|1|4,2,1,3,1,2,2,3,1,4,4,2,1,5,2,1,10,28,1,,,uHt3RyJV9q1OmVpmt4yZYQ**,1611524796,Democratic,Republican,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_48,FL_56,FL_44,Replication2|Replication1,Acquiescence2|Breach2|Hypocrisy1|Breach1|Incompetence1|Acquiescence1|Hypocrisy2|Incompetence2
7/15/19 16:21,7/15/19 16:23,0,141.214.17.232,100,96,1,7/15/19 16:23,R_vp4D4FQhlAW1Pjz,,,,,42.30679321,-83.7059021,anonymous,EN,43,3,,,3,4,1,2,1,2,1|3|4|2,3,1,3,3,3,3,3,3,3,3,3,3,2,2,1,5,43,1,,,uHt3RyJV9q1mJcUSY6kNzQ**,1504808461,Democratic,Republican,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_40,FL_47,FL_57,FL_45,Replication1|Replication2,Incompetence1|Hypocrisy1|Hypocrisy2|Acquiescence1|Incompetence2|Breach1|Acquiescence2|Breach2
