CaseId,WEIGHT,RND_01,PID1,PIDA,PIDB,PIDI,PartyID5,PartyID7,RANDOMO,DATE_Q2BEG,TIME_Q2BEG,Q2_INSERT,Q2,DATE_Q2END,TIME_Q2END,DATE_Q3BEG,TIME_Q3BEG,Q3_INSERT,Q3,DATE_Q3END,TIME_Q3END,TIME_Q4BEG,DATE_Q4BEG,Q4,DATE_Q4END,TIME_Q4END,Q5,Q6,Q7,RELIG,RELIG_OE,ATTEND,D3,D4,D5,IDEO,STARTDT,ENDDT,duration,SURV_MODE,Device,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC,EDUC4,MARITAL,EMPLOY,INCOME,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV
113,1.917135237,1,1,2,,,1,2,2,20180406,76425,1,3,20180406,76457,20180406,76472,1,3,20180406,76502,76457,20180406,2,20180406,76472,3,2,3,2,,8,3,,3,5,4/6/18 21:12,4/6/18 21:16,4,2,Smartphone,2,51,3,4,2,10,3,3,1,6,LA,3,7,0,1,1,1,2,3,0,0,0,0,3
114,0.38032035,1,3,,,2,4,5,2,20180328,48656,1,3,20180328,48667,20180328,48676,1,3,20180328,48685,48667,20180328,3,20180328,48676,3,2,3,1,,7,2,,,4,3/28/18 13:30,3/28/18 13:32,1,2,Desktop,2,35,2,3,1,12,4,1,7,11,KS,2,4,1,1,1,1,4,3,0,1,0,0,2
118,1.916039175,0,2,,1,,5,7,3,20180328,56712,0,2,20180328,56720,20180328,56687,0,3,20180328,56701,56701,20180328,4,20180328,56712,3,3,4,5,,4,3,,3,5,3/28/18 15:44,3/28/18 15:45,1,2,Desktop,2,52,3,4,1,13,4,1,1,14,MD,3,5,1,1,1,2,2,2,0,0,0,0,2
119,0.93843367,1,2,,2,,5,6,1,20180402,5106,1,98,20180402,5126,20180402,5126,1,98,20180402,5134,5134,20180402,3,20180402,5146,4,4,2,1,,8,3,,2,6,4/2/18 1:24,4/2/18 1:26,1,2,Smartphone,1,30,2,2,1,11,3,5,1,8,IN,2,3,1,1,1,1,4,1,0,0,0,0,1
120,0.208582754,0,3,,,3,3,4,1,20180328,70991,0,3,20180328,71001,20180328,71001,0,3,20180328,71008,71009,20180328,2,20180328,71016,4,4,4,12,,2,2,,,4,3/28/18 19:42,3/28/18 19:44,1,2,Smartphone,1,30,2,2,1,10,3,1,1,11,NY,1,2,1,1,2,3,4,2,0,0,0,0,2
123,1.792286115,1,1,2,,,1,2,5,20180404,43924,1,2,20180404,43934,20180404,43934,1,2,20180404,43946,43897,20180404,4,20180404,43924,3,2,3,11,,1,2,,,4,4/4/18 12:11,4/4/18 12:13,1,2,Smartphone,1,31,2,2,2,9,2,3,1,14,CA,4,9,1,1,3,1,2,2,0,0,0,0,2
124,1.745037887,0,1,2,,,1,2,3,20180406,67284,0,3,20180406,67294,20180406,67175,0,1,20180406,67259,67259,20180406,2,20180406,67284,3,1,4,2,,3,2,,,4,4/6/18 18:39,4/6/18 18:42,3,2,Smartphone,1,41,2,3,4,9,2,5,1,6,CA,4,9,1,1,1,1,2,5,0,0,0,0,5
127,1.038059337,0,3,,,2,4,5,2,20180328,42825,0,3,20180328,42838,20180328,42846,0,3,20180328,42859,42838,20180328,2,20180328,42846,3,4,3,1,,4,3,,3,5,3/28/18 11:53,3/28/18 11:55,1,2,Desktop,2,58,3,5,1,13,4,5,5,12,WA,4,9,1,1,1,1,3,1,0,0,0,0,1
128,0.60179055,0,1,1,,,1,1,5,20180328,54204,0,4,20180328,54225,20180328,54225,0,4,20180328,54240,54191,20180328,1,20180328,54203,3,1,4,2,,8,2,,,4,3/28/18 15:00,3/28/18 15:05,4,2,Smartphone,1,73,4,6,4,10,3,5,5,4,AZ,4,8,1,0,1,1,4,1,0,0,0,0,1
133,0.195160471,1,3,,,1,2,3,6,20180403,45199,1,4,20180403,45211,20180403,45181,1,2,20180403,45199,45158,20180403,1,20180403,45181,2,3,4,1,,5,2,,,4,4/3/18 12:32,4/3/18 12:34,2,2,Smartphone,1,31,2,2,1,12,4,6,1,14,FL,3,5,1,1,2,3,4,2,0,0,0,0,2
134,1.124093564,0,3,,,1,2,3,3,20180407,54393,0,3,20180407,54393,20180407,54393,0,3,20180407,54393,54393,20180407,3,20180407,54393,3,2,4,5,,4,2,,,4,3/30/18 3:58,4/7/18 15:07,12188,2,Desktop,2,55,3,5,1,12,4,3,2,16,VA,3,5,1,1,1,1,2,3,0,0,0,0,3
135,0.86596313,1,1,2,,,1,2,3,20180328,42642,1,4,20180328,42650,20180328,42587,1,4,20180328,42603,42603,20180328,2,20180328,42642,3,2,4,1,,5,2,,,4,3/28/18 11:49,3/28/18 11:54,4,2,Smartphone,1,36,2,3,6,13,4,1,1,17,NY,1,2,1,1,1,1,2,4,0,1,0,0,3
136,0.028292808,1,1,2,,,1,2,3,20180328,44716,1,3,20180328,44726,20180328,44694,1,2,20180328,44709,44709,20180328,4,20180328,44716,3,3,2,2,,6,2,,,4,3/28/18 12:24,3/28/18 12:26,1,2,Desktop,2,36,2,3,4,10,3,1,1,8,NJ,1,2,1,1,2,3,4,5,0,0,1,2,2
137,0.583125602,0,2,,2,,5,6,2,20180328,55490,0,3,20180328,55507,20180328,55517,0,3,20180328,55528,55507,20180328,3,20180328,55517,3,4,3,5,,3,2,,,4,3/28/18 15:24,3/28/18 15:26,1,2,Smartphone,1,36,2,3,1,12,4,3,1,15,NY,1,2,1,1,1,1,2,4,0,1,0,0,3
138,2.970522018,1,1,1,,,1,1,4,20180407,45214,1,2,20180407,45224,20180407,45192,1,3,20180407,45214,45224,20180407,3,20180407,45233,3,3,3,9,,1,1,2,,2,4/7/18 12:18,4/7/18 12:34,15,2,Desktop,2,22,1,1,1,12,4,5,1,4,MD,3,5,1,1,1,2,4,2,0,0,0,0,2
143,1.057658111,1,4,,,1,2,3,4,20180328,76579,1,3,20180328,76585,20180328,76567,1,3,20180328,76578,76585,20180328,3,20180328,76589,3,3,1,1,,8,2,,,4,3/28/18 21:15,3/28/18 21:17,1,2,Desktop,2,35,2,3,4,12,4,1,7,13,MA,1,1,1,1,1,1,4,4,1,1,0,0,2
144,0.50069153,0,1,2,,,1,2,5,20180329,72928,0,3,20180329,72941,20180329,72941,0,3,20180329,72961,72913,20180329,3,20180329,72928,3,2,3,2,,8,2,,,4,3/29/18 20:15,3/29/18 20:16,1,2,Smartphone,2,35,2,3,6,11,3,5,1,10,NY,1,2,1,1,1,1,2,2,0,0,0,0,2
149,3.468685938,0,1,2,,,1,2,1,20180329,54310,0,2,20180329,54320,20180329,54320,0,2,20180329,54329,54329,20180329,3,20180329,54341,3,3,3,1,,2,2,,,4,3/29/18 15:04,3/29/18 15:06,1,2,Desktop,1,18,1,1,1,9,2,5,4,15,KS,2,4,1,1,1,1,2,5,0,0,0,2,3
158,1.100476035,1,1,2,,,1,2,5,20180328,63561,1,2,20180328,63575,20180328,63576,1,3,20180328,63591,63536,20180328,2,20180328,63561,3,3,3,10,,3,2,,,4,3/28/18 17:38,3/28/18 17:40,1,2,Smartphone,1,38,2,3,6,14,4,5,1,11,CA,4,9,1,1,1,3,4,1,0,0,0,0,1
165,0.400862852,0,4,,,1,2,3,2,20180328,31450,0,3,20180328,31460,20180328,31465,0,2,20180328,31483,31461,20180328,3,20180328,31465,3,3,3,12,,2,1,2,,2,3/28/18 8:43,3/28/18 8:45,1,2,Smartphone,2,29,1,2,1,10,3,5,1,7,AZ,4,8,1,1,2,3,4,1,0,0,0,0,1
171,0.658599402,0,2,,1,,5,7,5,20180329,46726,0,2,20180329,46736,20180329,46736,0,4,20180329,46747,46705,20180329,2,20180329,46726,4,4,4,1,,2,3,,1,7,3/29/18 12:58,3/29/18 12:59,1,2,Desktop,1,40,2,3,1,9,2,4,6,4,OH,2,3,1,1,2,4,1,4,0,0,1,0,2
174,0.323729378,1,1,2,,,1,2,6,20180328,45608,1,3,20180328,45616,20180328,45596,1,3,20180328,45608,45588,20180328,2,20180328,45596,3,4,3,1,,2,2,,,4,3/28/18 12:39,3/28/18 12:40,1,2,Desktop,2,40,2,3,4,10,3,5,6,3,TX,3,7,1,1,2,3,3,2,0,0,0,1,1
175,2.423917254,1,1,1,,,1,1,5,20180328,77092,1,3,20180328,77113,20180328,77113,1,4,20180328,77137,76441,20180328,3,20180328,77092,3,2,3,2,,7,1,2,,2,3/28/18 21:13,3/28/18 21:26,12,2,Smartphone,2,56,3,5,4,9,2,2,2,11,NJ,1,2,1,1,2,2,4,2,0,0,0,0,2
176,1.686929752,1,1,2,,,1,2,3,20180328,46390,1,3,20180328,46405,20180328,46277,1,3,20180328,46333,46333,20180328,4,20180328,46390,4,2,4,10,,4,1,3,,3,3/28/18 12:51,3/28/18 12:53,2,2,Desktop,1,19,1,1,1,10,3,5,1,13,NY,1,2,1,1,2,3,4,1,0,0,0,0,1
177,0.67532839,1,3,,,3,3,4,6,20180402,56454,1,5,20180402,56461,20180402,56441,1,5,20180402,56454,56423,20180402,2,20180402,56441,4,2,5,12,,3,2,,,4,4/2/18 15:40,4/2/18 15:41,1,2,Desktop,1,49,3,4,1,12,4,1,1,13,OH,2,3,1,1,1,1,2,4,0,0,0,2,2
185,1.090792015,0,1,2,,,1,2,5,20180328,65955,0,4,20180328,65968,20180328,65968,0,3,20180328,65980,65936,20180328,2,20180328,65955,3,2,4,1,,9,2,,,4,3/28/18 18:18,3/28/18 18:21,2,2,Smartphone,1,37,2,3,5,10,3,1,1,13,CA,4,9,1,1,2,1,2,3,0,0,1,0,2
187,1.65835922,1,2,,2,,5,6,2,20180408,69243,1,3,20180408,69252,20180408,69262,1,2,20180408,69273,69252,20180408,3,20180408,69261,4,4,2,1,,7,3,,2,6,4/8/18 19:13,4/8/18 19:15,2,2,Smartphone,2,22,1,1,1,10,3,1,2,10,CO,4,8,1,1,1,1,4,4,1,1,0,0,2
188,0.432338282,1,4,,,3,3,4,1,20180402,10803,1,1,20180402,10828,20180402,10828,1,2,20180402,10848,10848,20180402,1,20180402,10861,4,4,4,14,Spiritual,2,2,,,4,3/30/18 8:09,4/2/18 3:03,4014,2,Smartphone,1,46,3,4,2,9,2,5,1,8,IL,2,3,1,1,2,3,4,1,0,0,0,0,1
189,1.152297534,0,1,1,,,1,1,4,20180406,84243,0,4,20180406,84257,20180406,84188,0,3,20180406,84242,84257,20180406,2,20180406,84274,4,3,3,5,,6,1,1,,1,4/6/18 23:22,4/6/18 23:25,2,2,Desktop,1,60,4,5,1,14,4,1,1,15,CO,4,8,1,1,1,1,2,2,0,0,0,0,2
192,0.085655587,1,1,1,,,1,1,1,20180328,66406,1,3,20180328,66458,20180328,66458,1,3,20180328,66468,66468,20180328,3,20180328,66482,3,2,4,12,,7,1,3,,3,3/28/18 17:28,3/28/18 18:29,61,2,Smartphone,2,23,1,1,4,12,4,5,7,5,FL,3,5,1,1,2,2,2,3,0,0,0,0,3
198,0.320305381,1,1,1,,,1,1,4,20180329,71978,1,4,20180329,71979,20180329,71976,1,5,20180329,71978,71979,20180329,3,20180329,71981,1,2,2,14,Non denaminational,4,2,,,4,3/29/18 19:59,3/29/18 20:00,0,2,Smartphone,1,28,1,2,4,11,3,1,1,10,CO,4,8,1,1,2,1,4,3,0,1,0,0,2
205,1.090417332,0,2,,1,,5,7,2,20180329,40454,0,3,20180329,40487,20180329,40500,0,3,20180329,40561,40487,20180329,3,20180329,40500,4,4,3,12,,2,3,,2,6,3/29/18 11:13,3/29/18 11:17,3,2,Smartphone,2,67,4,6,1,9,2,1,5,10,NJ,1,2,1,1,1,1,3,2,0,0,0,0,2
209,4.574478479,1,2,,2,,5,6,3,20180401,67285,1,4,20180401,67292,20180401,67259,1,2,20180401,67275,67275,20180401,2,20180401,67285,3,3,2,4,,3,3,,3,5,4/1/18 18:40,4/1/18 18:42,1,2,Smartphone,2,51,3,4,1,9,2,1,1,14,NY,1,2,1,1,1,2,4,2,0,0,0,0,2
211,2.061840284,1,1,2,,,1,2,4,20180406,59718,1,3,20180406,59726,20180406,59689,1,3,20180406,59718,59726,20180406,3,20180406,59734,3,3,3,2,,4,2,,,4,4/6/18 16:34,4/6/18 16:36,1,2,Smartphone,1,27,1,2,4,9,2,5,1,12,TX,3,7,1,1,2,1,4,5,0,1,0,0,4
212,1.101754871,1,3,,,2,4,5,2,20180404,49979,1,3,20180404,50003,20180404,50026,1,3,20180404,50045,50004,20180404,3,20180404,50026,2,2,3,1,,2,3,,3,5,4/4/18 13:52,4/4/18 13:55,3,2,Desktop,1,72,4,6,1,10,3,1,5,6,CA,4,9,1,1,1,1,3,2,0,0,0,0,2
219,0.610456279,0,1,1,,,1,1,1,20180328,68623,0,4,20180328,68634,20180328,68635,0,3,20180328,68705,68705,20180328,4,20180328,68714,2,2,2,2,,1,1,3,,3,3/28/18 19:01,3/28/18 19:10,8,2,Smartphone,2,27,1,2,1,12,4,6,1,12,IL,2,3,1,1,2,3,4,2,0,0,0,0,2
221,1.223866884,0,4,,,3,3,4,4,20180330,65661,0,2,20180330,65704,20180330,65521,0,2,20180330,65661,65704,20180330,2,20180330,65769,3,2,3,12,,4,2,,,4,3/30/18 18:11,3/30/18 18:17,5,2,Desktop,2,37,2,3,2,10,3,5,1,9,NY,1,2,1,1,2,3,4,2,0,0,0,0,2
225,1.567427061,1,4,,,3,3,4,6,20180328,77867,1,4,20180328,77887,20180328,77833,1,3,20180328,77867,77732,20180328,3,20180328,77833,3,3,2,2,,3,3,,3,5,3/28/18 21:35,3/28/18 21:39,4,2,Desktop,2,59,3,5,1,9,2,1,1,5,NY,1,2,1,1,2,3,1,2,0,0,0,0,2
227,0.41565552,1,1,1,,,1,1,5,20180328,38857,1,2,20180328,38866,20180328,38866,1,4,20180328,38875,38840,20180328,3,20180328,38857,3,3,3,2,,5,1,2,,2,3/28/18 10:47,3/28/18 10:48,1,2,Desktop,2,34,2,2,1,12,4,1,1,14,WI,2,3,1,1,1,1,4,3,0,1,0,0,2
231,0.961667287,1,1,1,,,1,1,3,20180328,60096,1,2,20180328,60105,20180328,60073,1,3,20180328,60085,60085,20180328,2,20180328,60096,4,2,3,2,,3,2,,,4,3/28/18 16:40,3/28/18 16:42,1,2,Desktop,2,60,4,5,1,9,2,1,5,8,OH,2,3,1,1,1,1,3,3,0,0,0,0,3
234,1.045601716,1,2,,2,,5,6,4,20180328,45263,1,4,20180328,45277,20180328,45245,1,3,20180328,45263,45277,20180328,4,20180328,45292,3,4,4,2,,2,2,,,4,3/28/18 12:33,3/28/18 12:35,2,2,Desktop,1,67,4,6,1,9,2,6,5,12,NJ,1,2,1,1,1,1,3,2,0,0,0,0,2
239,1.700315536,1,3,,,2,4,5,4,20180328,64985,1,4,20180328,64992,20180328,64975,1,3,20180328,64985,64992,20180328,3,20180328,64996,4,4,3,2,,8,3,,3,5,3/28/18 18:02,3/28/18 18:03,1,2,Desktop,2,47,3,4,1,10,3,1,1,15,NC,3,5,1,1,1,1,4,3,1,0,0,0,2
248,0.672826416,1,1,1,,,1,1,6,20180328,69803,1,4,20180328,69857,20180328,69713,1,4,20180328,69803,69684,20180328,3,20180328,69713,3,3,3,2,,3,1,2,,2,3/28/18 19:21,3/28/18 19:25,4,2,Desktop,1,27,1,2,1,12,4,5,1,2,NC,3,5,1,1,2,3,4,1,0,0,0,0,1
249,0.709365988,0,2,,2,,5,6,3,20180329,21925,0,2,20180329,21937,20180329,21889,0,3,20180329,21907,21907,20180329,2,20180329,21925,3,4,3,1,,4,3,,3,5,3/29/18 6:04,3/29/18 6:06,2,2,Desktop,1,55,3,5,1,9,2,1,1,10,WV,3,5,1,1,2,2,4,6,0,1,2,0,4
253,0.792851881,0,3,,,1,2,3,5,20180405,58856,0,3,20180405,58865,20180405,58865,0,4,20180405,58884,58841,20180405,2,20180405,58856,3,2,3,2,,4,2,,,4,4/5/18 16:20,4/5/18 16:21,1,2,Desktop,1,36,2,3,4,10,3,1,1,13,TX,3,7,1,1,2,1,4,4,0,2,0,0,2
261,3.77072416,1,1,1,,,1,1,4,20180403,3555,1,5,20180403,3564,20180403,3541,1,1,20180403,3554,3564,20180403,2,20180403,3581,4,4,4,12,,1,2,,,4,4/3/18 0:58,4/3/18 1:01,2,2,Smartphone,2,27,1,2,2,9,2,4,1,2,TX,3,7,1,0,2,3,4,2,0,0,0,0,2
271,0.516257704,1,2,,2,,5,6,5,20180328,52757,1,4,20180328,52770,20180328,52770,1,3,20180328,52790,52741,20180328,3,20180328,52757,3,4,5,1,,3,3,,2,6,3/28/18 14:38,3/28/18 14:40,2,2,Desktop,1,50,3,4,5,10,3,5,6,3,GA,3,5,1,1,1,1,3,1,0,0,0,0,1
279,0.537737326,1,2,,2,,5,6,4,20180328,54192,1,3,20180328,54202,20180328,54180,1,3,20180328,54192,54202,20180328,98,20180328,54213,4,3,3,5,,8,3,,3,5,3/28/18 15:02,3/28/18 15:04,1,2,Desktop,1,55,3,5,4,10,3,5,6,2,AZ,4,8,1,1,2,3,1,1,0,0,0,0,1
283,0.177667088,0,3,,,3,3,4,3,20180328,38749,0,3,20180328,38772,20180328,38686,0,3,20180328,38739,38739,20180328,2,20180328,38749,4,3,3,11,,2,2,,,4,3/28/18 10:43,3/28/18 10:46,3,2,Desktop,1,26,1,2,4,10,3,5,1,11,IA,2,4,0,1,2,1,4,2,0,0,0,0,2
285,0.527343414,1,4,,,3,3,4,4,20180329,73058,1,3,20180329,73062,20180329,73041,1,3,20180329,73058,73062,20180329,5,20180329,73269,2,2,2,12,,1,2,,,4,3/29/18 20:17,3/29/18 20:23,6,2,Desktop,1,27,1,2,2,10,3,5,1,11,IN,2,3,1,1,1,1,4,2,0,0,0,0,2
286,1.090417332,0,2,,2,,5,6,6,20180407,67299,0,3,20180407,67315,20180407,67282,0,3,20180407,67299,67010,20180407,3,20180407,67281,3,3,3,1,,2,2,,,4,4/7/18 18:36,4/7/18 18:42,6,2,Tablet,2,83,4,7,1,9,2,2,5,8,NY,1,2,1,1,1,3,2,1,0,0,0,0,1
291,0.523260027,0,2,,2,,5,6,6,20180328,75595,0,3,20180328,75609,20180328,75563,0,3,20180328,75595,75543,20180328,1,20180328,75563,3,3,3,1,,5,3,,3,5,3/28/18 20:58,3/28/18 21:01,2,2,Smartphone,2,29,1,2,1,12,4,5,1,9,NE,2,4,1,1,2,3,4,1,0,0,0,0,1
292,1.246231254,0,1,2,,,1,2,3,20180407,59834,0,2,20180407,59854,20180407,59772,0,3,20180407,59816,59817,20180407,2,20180407,59834,2,3,3,11,,1,2,,,4,4/7/18 16:35,4/7/18 16:41,5,2,Smartphone,2,52,3,4,4,8,1,4,6,7,VA,3,5,1,1,2,3,2,6,1,1,0,1,3
295,0.631517405,0,1,1,,,1,1,4,20180331,2037,0,2,20180331,2068,20180331,2000,0,3,20180331,2037,2068,20180331,2,20180331,2088,4,2,4,1,,6,1,1,,1,3/28/18 23:27,3/31/18 0:35,2947,2,Desktop,1,47,3,4,2,9,2,4,7,1,GA,3,5,0,1,2,2,4,1,0,0,0,0,1
296,0.176873989,1,1,2,,,1,2,4,20180328,54210,1,1,20180328,54238,20180328,54137,1,4,20180328,54210,54238,20180328,2,20180328,54251,3,3,3,11,,1,2,,,4,3/28/18 15:01,3/28/18 15:05,3,2,Smartphone,1,31,2,2,4,9,2,6,1,9,FL,3,5,1,1,2,3,1,2,0,0,0,0,2
298,2.524996406,1,1,2,,,1,2,5,20180328,53918,1,3,20180328,53928,20180328,53928,1,4,20180328,53939,53903,20180328,4,20180328,53917,3,2,4,1,,3,2,,,4,3/28/18 14:57,3/28/18 14:59,1,2,Desktop,2,75,4,7,1,13,4,1,5,15,IN,2,3,1,1,1,1,1,2,0,0,0,0,2
299,0.205609005,0,1,2,,,1,2,3,20180408,48327,0,3,20180408,48345,20180408,48300,0,3,20180408,48319,48319,20180408,3,20180408,48327,3,3,4,1,,9,2,,,4,4/8/18 13:24,4/8/18 13:26,2,2,Smartphone,2,66,4,6,3,11,3,4,1,12,CA,4,9,1,1,1,1,2,5,0,0,2,0,3
302,0.565777877,0,2,,2,,5,6,4,20180328,72745,0,3,20180328,72754,20180328,72712,0,3,20180328,72745,72754,20180328,2,20180328,72779,3,3,3,1,,8,3,,3,5,3/28/18 20:11,3/28/18 20:14,2,2,Tablet,2,59,3,5,1,13,4,1,1,8,IL,2,3,1,1,1,1,4,4,0,0,0,1,3
307,0.165737011,0,4,,,3,3,4,2,20180328,35526,0,2,20180328,35547,20180328,35560,0,3,20180328,35592,35547,20180328,4,20180328,35560,2,2,3,98,,1,2,,,4,3/28/18 9:51,3/28/18 9:58,6,2,Smartphone,1,26,1,2,4,9,2,5,1,2,CA,4,9,1,1,2,3,5,3,0,0,0,0,3
312,1.188423666,0,1,1,,,1,1,4,20180329,35157,0,3,20180329,35163,20180329,34980,0,3,20180329,35157,35163,20180329,2,20180329,35176,3,2,3,2,,2,2,,,4,3/29/18 9:42,3/29/18 9:47,4,2,Desktop,2,65,4,6,1,8,1,1,2,6,CA,4,9,1,1,1,1,2,3,0,0,0,0,3
