StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,pid_base,pidstr_d,pidstr_r,pidlean,ideol,trust_1,trust_2,trust_3,trust_4,trust_DO,followpol,intro,rep1,rep2,acq1,acq2,hyp1,hyp2,incomp1,incomp2,breach1,breach2,educ,gender,race,income,age,troll,troll_oe,debrief,age,year_of_birth,education,educationScore,gender,femaleAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,device,r1dr,r2dr,b1dr,b2dr,i1dr,i2dr,hyp1dr,hyp2dr,hyp1to,FL_39_DO,FL_46_DO,FL_55_DO,FL_43_DO,FL_59_DO,FL_60_DO
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_djqosjVy97sqMfz,,,,,35.91819763,-79.00350189,test,,61,2,,1,,2,4,4,1,3,4|3|2|1,4,1,3,3,2,2,1,1,5,3,3,4,3,2,1,2,Eget donec mi fringilla ullamcorper amet viverra. Nulla tellus aenean. Dolor purus id ab.,2,Vestibulum aenean? Eros sodales auctor? Nulla wisi placerat phasellus pretium aenean vivamus. Integer.,"Per atque quam arcu, pharetra risus velit est tempus vehicula suspendisse. Facilisi suspendisse lacus. Posuere.",,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_48,FL_57,FL_44,Replication1|Replication2,Acquiescence1|Hypocrisy1|Incompetence2|Breach1|Hypocrisy2|Incompetence1|Acquiescence2|Breach2
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_4VlWNIcMZYbxh4N,,,,,35.91819763,-79.00350189,test,,80,3,,,3,7,1,4,4,1,4|3|2|1,3,1,2,3,1,2,2,4,4,3,3,3,2,2,4,6,"Sagittis, metus vivamus fusce tempora integer viverra. Arcu donec mattis! Molestie? Lacus a natoque aliquam.",2,Accusamus sit phasellus molestie! Quis metus ultricies ullamcorper! Vivamus iaculis. Volutpat ab.,Purus lectus etiam pede justo ligula pellentesque. Eros ante elit. Platea lorem magna.,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_48,FL_56,FL_44,Replication2|Replication1,Incompetence1|Acquiescence1|Breach2|Hypocrisy2|Breach1|Hypocrisy1|Acquiescence2|Incompetence2
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_5oQjGFYbpfleFed,,,,,35.91819763,-79.00350189,test,,77,2,,1,,2,1,1,4,3,3|1|4|2,3,1,1,4,1,1,1,4,3,2,3,3,5,3,2,7,"Dolor accumsan at? Justo. Tempor massa culpa. Tortor sit et, sollicitudin! Quis, dolor.",1,,"At pellentesque tellus. Malesuada. Per mauris consequat. Ante! Fermentum! Egestas non lorem, velit. Tincidunt.",,,,,,,,,,,,,,Republican,Democratic,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_47,FL_57,FL_45,Replication1|Replication2,Incompetence2|Hypocrisy2|Acquiescence2|Incompetence1|Breach1|Hypocrisy1|Breach2|Acquiescence1
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_esNgV8tbomjX3rD,,,,,35.91819763,-79.00350189,test,,21,3,,,1,8,4,4,1,1,3|1|2|4,5,1,2,5,2,3,4,5,2,5,1,1,5,2,4,3,Erat rutrum eleifend consequat. Elementum accusamus eget bibendum neque lectus bibendum magna odio.,2,Scelerisque pede nonummy purus purus nec pharetra mauris pretium wisi volutpat nullam elit.,Fringilla temporibus tempora iaculis natoque ab lectus posuere natoque pharetra suscipit.,,,,,,,,,,,,,,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication1|Replication2,Incompetence1|Incompetence2|Breach2|Acquiescence1|Acquiescence2|Breach1|Hypocrisy2|Hypocrisy1
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_1BuZlOmvRVC7L5r,,,,,35.91819763,-79.00350189,test,,81,3,,,3,8,2,1,3,4,3|2|1|4,5,1,3,5,5,2,1,1,2,5,5,4,1,1,4,1,"Scelerisque. Interdum tempus! Rhoncus, montes eu commodo platea ultricies consectetuer et.",2,"Suspendisse imperdiet tellus vulputate elementum, eget ultrices nullam suspendisse suscipit posuere a quis.","Purus rhoncus fringilla. Consequat molestie, vitae? Dignissim volutpat ultrices donec, purus leo augue.",,,,,,,,,,,,,,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_47,FL_56,FL_44,Replication1|Replication2,Breach1|Hypocrisy1|Hypocrisy2|Breach2|Acquiescence1|Incompetence2|Incompetence1|Acquiescence2
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_dou2fJBd3g8khyR,,,,,35.91819763,-79.00350189,test,,71,4,,,3,8,4,3,3,3,4|1|3|2,1,1,5,1,5,5,5,4,1,1,2,3,3,2,2,9,Rhoncus. Quam magnis pellentesque nunc. Vivamus luctus rhoncus sit ultricies lacus.,1,,Rhoncus tempora rutrum potenti. Molestie aliquam suscipit sem dolorem a luctus dui augue vehicula consequat.,,,,,,,,,,,,,,Democratic,Republican,Democratic,Republican,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_47,FL_57,FL_44,Replication1|Replication2,Incompetence2|Breach1|Hypocrisy1|Acquiescence2|Hypocrisy2|Breach2|Incompetence1|Acquiescence1
7/8/19 9:58,7/8/19 9:58,2,,100,1,1,7/8/19 9:58,R_dpyb1v49WflDdPf,,,,,35.91819763,-79.00350189,test,,67,2,,1,,2,3,4,2,1,3|1|2|4,5,1,5,1,4,2,3,3,5,3,2,1,3,1,3,3,"Vehicula temporibus enim mauris ipsum eleifend ab pede, diam montes.",2,Ac facilisis scelerisque eleifend consectetuer sem fusce justo vestibulum a magnis fermentum.,Mi! Venenatis pellentesque pharetra tempor ridiculus. Faucibus nullam. Lorem imperdiet! Vulputate tincidunt. Sollicitudin integer.,,,,,,,,,,,,,,Republican,Democratic,Republican,Democratic,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_48,FL_56,FL_45,Replication2|Replication1,Breach1|Hypocrisy1|Incompetence2|Breach2|Hypocrisy2|Acquiescence1|Incompetence1|Acquiescence2
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_5zQ8BwIpBnfe1Lf,,,,,35.91819763,-79.00350189,test,,49,1,2,,,3,1,3,1,4,4|3|2|1,3,1,2,3,3,3,3,1,5,5,1,1,3,3,4,7,"Elit? Platea? Tempora? Placerat scelerisque maecenas accusamus molestie posuere atque, lectus egestas tempus id, eleifend.",2,Nibh tempor ultricies magnis sem atque ante per et turpis montes. Nullam faucibus vestibulum.,Etiam! Venenatis faucibus lorem platea ridiculus blandit rhoncus sagittis proin.,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_48,FL_57,FL_44,Replication1|Replication2,Acquiescence2|Hypocrisy1|Hypocrisy2|Breach1|Incompetence1|Acquiescence1|Breach2|Incompetence2
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_8dBhzln71Hs4oyV,,,,,35.91819763,-79.00350189,test,,23,2,,1,,6,4,1,4,2,4|2|1|3,1,1,5,5,2,2,2,5,2,5,4,3,2,3,1,1,A in! Nec venenatis duis. Est aenean sodales scelerisque curabitur venenatis leo sem.,2,"Sodales tempora convallis nonummy? Vivamus faucibus vestibulum sem iaculis? Ut, enim dolor.","Suspendisse? Quam ultrices tellus ligula? Maecenas ligula cursus blandit. Suspendisse ab fermentum, amet. Morbi porta.",,,,,,,,,,,,,,Republican,Democratic,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_47,FL_56,FL_45,Replication2|Replication1,Hypocrisy2|Incompetence2|Breach1|Acquiescence2|Acquiescence1|Incompetence1|Breach2|Hypocrisy1
7/8/19 9:58,7/8/19 9:58,2,,100,1,1,7/8/19 9:58,R_3t1JnhY2CGanDJH,,,,,35.91819763,-79.00350189,test,,15,4,,,3,3,4,3,3,2,1|3|2|4,1,1,5,2,2,2,2,2,2,2,5,2,3,1,1,6,Justo facilisi ultricies! Praesent. Aliquet vehicula dictumst magna elit accumsan.,1,,Culpa. Elementum porttitor donec placerat in wisi sagittis primis. Lorem dictumst.,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_40,FL_48,FL_57,FL_45,Replication2|Replication1,Hypocrisy2|Breach2|Hypocrisy1|Acquiescence2|Incompetence1|Incompetence2|Breach1|Acquiescence1
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_7PXYn1OBNdXOcqp,,,,,35.91819763,-79.00350189,test,,73,1,1,,,2,4,2,3,3,1|3|4|2,3,1,2,4,3,2,3,2,5,5,3,5,5,3,5,1,"Cras duis? Mattis egestas dictumst dignissim? Auctor fusce montes suspendisse ultricies duis blandit, ullamcorper.",1,,Non malesuada volutpat ipsum. Commodo tortor scelerisque. Commodo nec amet iaculis non. Magnis.,,,,,,,,,,,,,,Republican,Democratic,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_47,FL_56,FL_44,Replication2|Replication1,Hypocrisy1|Breach2|Breach1|Incompetence2|Incompetence1|Acquiescence2|Hypocrisy2|Acquiescence1
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_6JrHZsYrhteMyUZ,,,,,35.91819763,-79.00350189,test,,84,4,,,2,1,4,4,2,2,3|2|1|4,4,1,2,4,4,5,5,1,3,3,1,5,5,1,5,1,Aenean duis sit! Neque nec vehicula interdum accusamus aenean porta aliquet quam vehicula. Porttitor.,1,,Tincidunt. Facilisi euismod sem porttitor atque vehicula? Tempora gravida posuere nulla suspendisse mattis temporibus cras.,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_40,FL_48,FL_57,FL_45,Replication1|Replication2,Hypocrisy1|Incompetence2|Acquiescence1|Breach2|Incompetence1|Acquiescence2|Hypocrisy2|Breach1
7/8/19 10:07,7/8/19 10:09,0,66.142.195.201,100,103,1,7/8/19 10:09,R_1Oq9k2SboDwrr8z,,,,,34.77999878,-96.69239807,anonymous,EN,42,2,,1,,6,3,4,3,3,3|1|2|4,2,1,3,3,2,2,2,2,3,3,2,2,4,1,1,9,42,1,,,41,1978,"Completed bachelor's degree (BA, AB, BS or other)",5,male,0,"$115,000 to $149,999",6,132500,8eb644c5,dc33a918,United States,desktop,Republican,Democratic,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_47,FL_56,FL_44,Replication2|Replication1,Incompetence1|Hypocrisy1|Incompetence2|Breach2|Acquiescence2|Breach1|Acquiescence1|Hypocrisy2
7/8/19 10:07,7/8/19 10:10,0,73.124.103.214,100,177,1,7/8/19 10:10,R_2eOMyi1yTSKrSY0,,,,,25.99200439,-80.27020264,anonymous,EN,28,3,,,1,4,1,1,1,1,3|1|4|2,2,1,4,4,3,3,4,3,3,2,4,4,4,1,1,8,29,1,,,31,1988,"Completed associate degree only, no bachelor's degree (AA, AS or other)",4,male,0,"$85,000 to $114,999",5,100000,00e860a2,9754ddc4,United States,desktop,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_47,FL_56,FL_44,Replication1|Replication2,Incompetence1|Breach2|Breach1|Acquiescence1|Incompetence2|Acquiescence2|Hypocrisy2|Hypocrisy1
7/8/19 10:09,7/8/19 10:11,0,73.155.50.63,100,114,1,7/8/19 10:11,R_2pKNeZsXsrtRZbn,,,,,30.21209717,-95.52629852,anonymous,EN,28,1,1,,,1,2,1,1,2,3|2|4|1,3,1,4,2,3,2,4,2,4,2,4,2,3,1,1,3,28,1,,,28,1991,"Completed associate degree only, no bachelor's degree (AA, AS or other)",4,male,0,"$25,000 to $39,999",2,32500,00b016e7,0c3dc570,United States,desktop,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_47,FL_56,FL_44,Replication2|Replication1,Incompetence2|Breach2|Incompetence1|Acquiescence2|Hypocrisy2|Hypocrisy1|Breach1|Acquiescence1
7/8/19 10:07,7/8/19 10:12,0,68.111.194.116,100,257,1,7/8/19 10:12,R_2wSjJYrx4WfsD2W,,,,,33.10969543,-117.0670013,anonymous,EN,47,1,2,,,3,2,2,2,2,2|1|3|4,3,1,4,4,2,3,2,3,4,5,4,3,4,2,1,6,47,1,,,48,1971,"Completed bachelor's degree (BA, AB, BS or other)",5,female,1,"$40,000 to $59,999",3,50000,8dfd1977,16304057,United States,desktop,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication2|Replication1,Acquiescence1|Hypocrisy1|Incompetence2|Hypocrisy2|Incompetence1|Breach2|Acquiescence2|Breach1
7/8/19 10:09,7/8/19 10:13,0,99.40.165.92,100,198,1,7/8/19 10:13,R_3j252GQ9f5ycKAZ,,,,,28.90249634,-81.2480011,anonymous,EN,42,3,,,2,5,1,3,1,2,1|3|2|4,3,1,4,3,2,4,2,2,3,4,2,2,2,2,1,7,42,1,,,42,1977,"Completed only high school or the equivalent (for example: GED), no college",2,female,1,"$60,000 to $84,999",4,72500,33e6db35,8ed8af70,United States,desktop,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication1|Replication2,Acquiescence1|Incompetence1|Breach2|Hypocrisy2|Breach1|Hypocrisy1|Acquiescence2|Incompetence2
7/8/19 10:12,7/8/19 10:15,0,47.39.22.254,100,171,1,7/8/19 10:15,R_1P7pLg6owREj0pY,,,,,43.21510315,-124.1983948,anonymous,EN,44,1,1,,,2,2,2,2,2,2|1|3|4,2,1,3,3,4,3,2,3,2,3,3,4,3,2,1,4,44,1,,,45,1974,"Completed associate degree only, no bachelor's degree (AA, AS or other)",4,female,1,"$25,000 to $39,999",2,32500,02f90748,1074dd5d,United States,desktop,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication2|Replication1,Breach1|Hypocrisy2|Breach2|Acquiescence2|Incompetence1|Hypocrisy1|Incompetence2|Acquiescence1
7/8/19 10:13,7/8/19 10:16,0,173.195.206.245,100,195,1,7/8/19 10:16,R_De3lktK8z9HnV3H,,,,,27.70150757,-82.31510162,anonymous,EN,39,2,,2,,5,1,3,1,2,4|1|3|2,2,1,3,5,3,3,3,3,3,4,3,3,4,2,1,6,39,1,,,30,1989,"Completed bachelor's degree (BA, AB, BS or other)",5,female,1,"$60,000 to $84,999",4,72500,82cff424,8d819d54,United States,desktop,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_47,FL_56,FL_44,Replication1|Replication2,Acquiescence1|Acquiescence2|Incompetence1|Breach2|Hypocrisy2|Incompetence2|Breach1|Hypocrisy1
